Name,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log,Is_Japan_Hit
Dead Space,3384,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,0.0,0.4252677354043441,0.0,0.058268908123975775,0.46373401623214017,0
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,3401,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,0.0,0.0,0.4382549309311553,0.039220713153281295,0.46373401623214017,0
Ready 2 Rumble Boxing,3415,N64,1999,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,0.3852624007906449,0.10436001532424277,0.0,0.009950330853168083,0.46373401623214017,0
Dark Souls II,3430,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59,0.18232155679395462,0.1988508587451652,0.07696104113612832,0.07696104113612832,0.46373401623214017,0
Iron Man,3517,X360,2008,Action,Sega,0.27,0.24,0.0,0.06,0.57,0.23901690047049992,0.2151113796169455,0.0,0.058268908123975775,0.4510756193602167,0
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,3521,DS,2008,Action,THQ,0.53,0.0,0.0,0.04,0.57,0.4252677354043441,0.0,0.0,0.039220713153281295,0.4510756193602167,0
3D Dot Game Heroes,3533,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,0.3074846997479606,0.11332868530700317,0.0295588022415444,0.06765864847381481,0.4510756193602167,0
Conflict: Vietnam,3771,PS2,2004,Shooter,SCi,0.26,0.2,0.0,0.07,0.53,0.23111172096338664,0.18232155679395462,0.0,0.06765864847381481,0.4252677354043441,0
Dragon Ball Z: Supersonic Warriors 2,3962,DS,2005,Fighting,Atari,0.14,0.02,0.32,0.02,0.5,0.1310282624064041,0.019802627296179712,0.2776317365982795,0.019802627296179712,0.4054651081081644,0
WipEout,4167,PS,1995,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47,0.23111172096338664,0.16551443847757338,0.0,0.0295588022415444,0.3852624007906449,0
World Soccer Winning Eleven 8: Liveware Evolution,4208,PS2,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.47,0.0,0.47,0.0,0.0,0.3852624007906449,0.0,0.3852624007906449,0
World Soccer Winning Eleven 5 Final Evolution,4362,PS2,2001,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.37156355643248307,0.0,0.37156355643248307,0
Top Gear Rally,4829,N64,1997,Racing,Kemco,0.32,0.07,0.0,0.0,0.4,0.2776317365982795,0.06765864847381481,0.0,0.0,0.33647223662121295,0
SD Gundam G Generation Spirits,4994,PS2,2007,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38,0.0,0.0,0.32208349916911333,0.0,0.32208349916911333,0
The Incredibles: Rise of the Underminer,5188,PS2,2005,Action,THQ,0.18,0.14,0.0,0.05,0.36,0.16551443847757338,0.1310282624064041,0.0,0.04879016416943201,0.3074846997479606,0
Frogs And Flies,5248,2600,1981,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36,0.2851789422336624,0.019802627296179712,0.0,0.0,0.3074846997479606,0
Harry Potter and the Deathly Hallows - Part 2,5405,PS3,2011,Action,Electronic Arts,0.14,0.15,0.0,0.05,0.34,0.1310282624064041,0.13976194237515868,0.0,0.04879016416943201,0.29266961396282,0
Calvin Tucker's Redneck Jamboree,5766,Wii,2008,Misc,Zoo Games,0.29,0.0,0.0,0.02,0.31,0.2546422183735807,0.0,0.0,0.019802627296179712,0.27002713721306015,0
RealSports Boxing,5958,2600,1986,Sports,Atari,0.28,0.02,0.0,0.0,0.29,0.2468600779315258,0.019802627296179712,0.0,0.0,0.2546422183735807,0
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,6202,GC,2004,Action,THQ,0.22,0.06,0.0,0.01,0.28,0.1988508587451652,0.058268908123975775,0.0,0.009950330853168083,0.2468600779315258,0
True Crime: New York City,6244,XB,2005,Action,Activision,0.21,0.06,0.0,0.01,0.28,0.1906203596086497,0.058268908123975775,0.0,0.009950330853168083,0.2468600779315258,0
R.U.S.E.,6294,X360,2010,Strategy,Ubisoft,0.12,0.12,0.0,0.03,0.27,0.11332868530700317,0.11332868530700317,0.0,0.0295588022415444,0.23901690047049992,0
ATV: Quad Power Racing,6589,GBA,2002,Racing,Liquid Games,0.18,0.07,0.0,0.0,0.26,0.16551443847757338,0.06765864847381481,0.0,0.0,0.23111172096338664,0
Kung Fu Panda 2,6653,X360,2011,Action,THQ,0.16,0.07,0.0,0.02,0.25,0.14842000511827327,0.06765864847381481,0.0,0.019802627296179712,0.22314355131420976,0
Dance Dance Revolution: Disney Channel Edition,6895,PS2,2008,Simulation,Konami Digital Entertainment,0.12,0.09,0.0,0.03,0.24,0.11332868530700317,0.08617769624105233,0.0,0.0295588022415444,0.2151113796169455,0
LEGO The Lord of the Rings,7201,PC,2012,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22,0.06765864847381481,0.12221763272424921,0.0,0.0295588022415444,0.1988508587451652,0
Guitar Hero: Smash Hits,7262,PS2,2009,Misc,Activision,0.11,0.01,0.0,0.1,0.22,0.10436001532424277,0.009950330853168083,0.0,0.09531017980432487,0.1988508587451652,0
SD Gundam GNext,7514,SNES,1995,Strategy,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.18232155679395462,0.0,0.18232155679395462,0
IHRA Drag Racing 2004,7628,XB,2003,Racing,Bethesda Softworks,0.15,0.04,0.0,0.01,0.2,0.13976194237515868,0.039220713153281295,0.0,0.009950330853168083,0.18232155679395462,0
Parlor! Mini 4,7759,SNES,1996,Misc,Nippon Telenet,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.173953307123438,0.0,0.173953307123438,0
Bubsy 3D,7959,PS,1996,Platform,Accolade,0.1,0.07,0.0,0.01,0.19,0.09531017980432487,0.06765864847381481,0.0,0.009950330853168083,0.173953307123438,0
Nancy Drew: The Hidden Staircase,8186,DS,2008,Adventure,THQ,0.16,0.0,0.0,0.01,0.18,0.14842000511827327,0.0,0.0,0.009950330853168083,0.16551443847757338,0
Mahjong Fight Club,8338,PSP,2004,Misc,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.15700374880966475,0.0,0.15700374880966475,0
Saint Seiya: Soldiers' Soul,8845,PS4,2015,Fighting,Namco Bandai Games,0.0,0.09,0.04,0.02,0.15,0.0,0.08617769624105233,0.039220713153281295,0.019802627296179712,0.13976194237515868,0
Boktai: The Sun is in Your Hand,8984,GBA,2003,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15,0.09531017980432487,0.039220713153281295,0.0,0.0,0.13976194237515868,0
Ecco the Dolphin: Defender of the Future,9169,PS2,2002,Adventure,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,0.06765864847381481,0.04879016416943201,0.0,0.019802627296179712,0.1310282624064041,0
The Darkness II,9201,PC,2012,Shooter,Take-Two Interactive,0.1,0.03,0.0,0.01,0.14,0.09531017980432487,0.0295588022415444,0.0,0.009950330853168083,0.1310282624064041,0
Football Manager 2012,9233,PSP,2011,Sports,Sega,0.0,0.1,0.0,0.04,0.14,0.0,0.09531017980432487,0.0,0.039220713153281295,0.1310282624064041,0
Bratz,9346,GBA,2002,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.13,0.09531017980432487,0.039220713153281295,0.0,0.0,0.12221763272424921,0
The BIGS 2,9446,PS3,2009,Sports,Take-Two Interactive,0.12,0.0,0.0,0.01,0.13,0.11332868530700317,0.0,0.0,0.009950330853168083,0.12221763272424921,0
Kidz Sports: Crazy Golf,9630,Wii,2008,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.13,0.10436001532424277,0.0,0.0,0.009950330853168083,0.12221763272424921,0
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,9838,PSP,2011,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.11332868530700317,0.0,0.11332868530700317,0
The Whispered World,10464,PC,2009,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1,0.0,0.07696104113612832,0.0,0.019802627296179712,0.09531017980432487,0
Crimson Sea,11125,XB,2002,Action,Tecmo Koei,0.04,0.01,0.04,0.0,0.09,0.039220713153281295,0.009950330853168083,0.039220713153281295,0.0,0.08617769624105233,0
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,11622,3DS,2012,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.07696104113612832,0.0,0.07696104113612832,0
Ro-Kyu-Bu!,11656,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.07696104113612832,0.0,0.07696104113612832,0
Learn Geography,11720,DS,2009,Misc,DreamCatcher Interactive,0.07,0.0,0.0,0.01,0.08,0.06765864847381481,0.0,0.0,0.009950330853168083,0.07696104113612832,0
Let's Ride! Dreamer,12008,GBA,2005,Adventure,DTP Entertainment,0.05,0.02,0.0,0.0,0.07,0.04879016416943201,0.019802627296179712,0.0,0.0,0.06765864847381481,0
NHL 2005,12092,GC,2004,Sports,Electronic Arts,0.05,0.01,0.0,0.0,0.07,0.04879016416943201,0.009950330853168083,0.0,0.0,0.06765864847381481,0
Bleach: Versus Crusade,12273,Wii,2008,Fighting,Sega,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.058268908123975775,0.0,0.058268908123975775,0
Oddworld: Munch's Oddysee,12569,GBA,2003,Platform,THQ,0.04,0.02,0.0,0.0,0.06,0.039220713153281295,0.019802627296179712,0.0,0.0,0.058268908123975775,0
Samurai Deeper Kyo,12899,PS,2002,Fighting,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04879016416943201,0.0,0.04879016416943201,0
Rock Band Country Track Pack 2,13304,X360,2011,Misc,MTV Games,0.04,0.0,0.0,0.0,0.05,0.039220713153281295,0.0,0.0,0.0,0.04879016416943201,0
World Championship Pool 2004,13309,PS2,2004,Sports,Jaleco,0.02,0.02,0.0,0.01,0.05,0.019802627296179712,0.019802627296179712,0.0,0.009950330853168083,0.04879016416943201,0
World Series of Poker: Tournament of Champions 2007 Edition,13325,Wii,2006,Misc,Activision,0.04,0.0,0.0,0.0,0.05,0.039220713153281295,0.0,0.0,0.0,0.04879016416943201,0
Novastorm,13706,PS,1995,Shooter,Psygnosis,0.02,0.02,0.0,0.0,0.04,0.019802627296179712,0.019802627296179712,0.0,0.0,0.039220713153281295,0
The Da Vinci Code,13797,XB,2006,Action,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04,0.0295588022415444,0.009950330853168083,0.0,0.0,0.039220713153281295,0
I'm A Celebrity: Get Me Out of Here!,13874,DS,2009,Misc,Mindscape,0.0,0.04,0.0,0.0,0.04,0.0,0.039220713153281295,0.0,0.0,0.039220713153281295,0
Bullet Girls 2,13888,PSV,2016,Action,D3Publisher,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Adidas Power Soccer,13911,PS,1996,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04,0.019802627296179712,0.009950330853168083,0.0,0.0,0.039220713153281295,0
Hunter x Hunter: Wonder Adventure,13922,PSP,2012,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Doraemon: Shin Nobita no Nihon Tanjou,13983,3DS,2016,Misc,FuRyu,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Maximum Racing: GP Classic Racing,14245,Wii,2010,Racing,Nordic Games,0.03,0.0,0.0,0.0,0.03,0.0295588022415444,0.0,0.0,0.0,0.0295588022415444,0
Vitamin X Evolution,14307,DS,2008,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Dream Girl Premier,14831,3DS,2015,Misc,Alchemist,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Homeworld,15137,PC,1998,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,0.0,0.019802627296179712,0.0,0.0,0.019802627296179712,0
The Sims: Complete Collection,15234,PC,2005,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.02,0.009950330853168083,0.009950330853168083,0.0,0.0,0.019802627296179712,0
Super PickUps,15315,PS2,2007,Racing,XS Games,0.01,0.01,0.0,0.0,0.02,0.009950330853168083,0.009950330853168083,0.0,0.0,0.019802627296179712,0
Vitamin X Evolution Plus,15727,PSP,2010,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
The Last Remnant,16028,PC,2009,Role-Playing,Square Enix,0.0,0.01,0.0,0.0,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,0
Sengoku Basara 2 Heroes,16230,Wii,2007,Action,Capcom,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
Original Frisbee Disc Sports: Ultimate & Golf,16567,DS,2007,Action,"Destination Software, Inc",0.01,0.0,0.0,0.0,0.01,0.009950330853168083,0.0,0.0,0.0,0.009950330853168083,0
FIFA 15,220,PS3,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,0.4510756193602167,1.420695787837223,0.039220713153281295,0.7275486072772778,1.7613002617433464,0
The Legend of Zelda: Skyward Sword,285,Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,1.144222799920162,0.7884573603642702,0.31481073984003355,0.33647223662121295,1.62924053973028,0
Left 4 Dead,370,X360,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52,1.297463147413275,0.4054651081081644,0.04879016416943201,0.26236426446749106,1.5085119938441398,0
LEGO Star Wars: The Complete Saga,576,X360,2007,Action,LucasArts,1.53,0.87,0.0,0.24,2.64,0.9282193027394289,0.6259384308664953,0.0,0.2151113796169455,1.2919836816486494,0
Dynasty Warriors 4,785,PS2,2003,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11,0.48858001481867097,0.1906203596086497,0.7561219797213337,0.12221763272424921,1.1346227261911428,1
Dance Central 2,832,X360,2011,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04,0.8960880245566356,0.35065687161316933,0.009950330853168083,0.14842000511827327,1.1118575154181303,0
Harry Potter and the Chamber of Secrets,856,PS,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98,0.5596157879354227,0.7371640659767197,0.019802627296179712,0.11332868530700317,1.091923300517313,0
BioShock Infinite,998,PS3,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76,0.5423242908253616,0.5247285289349821,0.039220713153281295,0.27002713721306015,1.0152306797290587,0
Pokemon Mystery Dungeon: Explorers of Sky,1180,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12,1.58,0.4574248470388754,0.36464311358790924,0.36464311358790924,0.11332868530700317,0.9477893989335261,0
NFL Blitz,1257,PS,1998,Sports,Midway Games,1.41,0.05,0.0,0.04,1.5,0.8796267475025636,0.04879016416943201,0.0,0.039220713153281295,0.9162907318741551,0
SingStar Abba,1428,PS2,2008,Misc,Sony Computer Entertainment,0.23,0.04,0.0,1.09,1.36,0.20701416938432615,0.039220713153281295,0.0,0.7371640659767197,0.8586616190375187,0
Final Fantasy X / X-2 HD Remaster,1480,PS3,2013,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33,0.3576744442718159,0.33647223662121295,0.2776317365982795,0.16551443847757338,0.8458682675776092,0
Dragon Ball: Daimaou Fukkatsu,1589,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25,0.0,0.0,0.8109302162163288,0.0,0.8109302162163288,1
Call of Duty: Modern Warfare 2,2349,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.89,0.009950330853168083,0.5822156198526637,0.0,0.08617769624105233,0.636576829071551,0
Sega Superstars Tennis,2762,DS,2008,Sports,Sega,0.29,0.37,0.0,0.08,0.75,0.2546422183735807,0.31481073984003355,0.0,0.07696104113612832,0.5596157879354227,0
Jet Moto 3,2785,PS,1999,Racing,Sony Computer Entertainment,0.41,0.28,0.0,0.05,0.74,0.3435897043900769,0.2468600779315258,0.0,0.04879016416943201,0.5538851132264376,0
Spider-Man 3,2982,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.12,0.68,0.23111172096338664,0.2546422183735807,0.019802627296179712,0.11332868530700317,0.5187937934151676,0
Kirby's Dream Course,3437,SNES,1994,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59,0.0,0.0,0.46373401623214017,0.0,0.46373401623214017,0
Tom Clancy's HAWX,3559,PS3,2009,Action,Ubisoft,0.21,0.22,0.05,0.09,0.57,0.1906203596086497,0.1988508587451652,0.04879016416943201,0.08617769624105233,0.4510756193602167,0
NCAA March Madness 2005,3769,PS2,2004,Sports,Electronic Arts,0.44,0.02,0.0,0.07,0.53,0.36464311358790924,0.019802627296179712,0.0,0.06765864847381481,0.4252677354043441,0
Classic Word Games,3831,DS,2009,Misc,Ubisoft,0.09,0.37,0.0,0.07,0.52,0.08617769624105233,0.31481073984003355,0.0,0.06765864847381481,0.41871033485818504,0
Swing Away Golf,3856,PS2,2000,Sports,Electronic Arts,0.17,0.13,0.18,0.04,0.52,0.15700374880966475,0.12221763272424921,0.16551443847757338,0.039220713153281295,0.41871033485818504,0
Guitar Hero Live,3944,XOne,2015,Misc,Activision,0.29,0.17,0.0,0.05,0.51,0.2546422183735807,0.15700374880966475,0.0,0.04879016416943201,0.412109650826833,0
Moshi Monsters: Moshlings Theme Park,4327,DS,2012,Misc,Activision,0.03,0.37,0.0,0.05,0.45,0.0295588022415444,0.31481073984003355,0.0,0.04879016416943201,0.37156355643248307,0
Transformers: Revenge of the Fallen (Wii & PS2 Version),4356,DS,2009,Action,Activision,0.27,0.14,0.0,0.04,0.45,0.23901690047049992,0.1310282624064041,0.0,0.039220713153281295,0.37156355643248307,0
Battlebots: Design & Destroy,4477,GBA,2003,Action,Majesco Entertainment,0.31,0.12,0.0,0.01,0.44,0.27002713721306015,0.11332868530700317,0.0,0.009950330853168083,0.36464311358790924,0
Boku no Natsuyasumi 2: Umi no Bouken Hen,4723,PS2,2002,Adventure,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,0.0,0.0,0.3435897043900769,0.0,0.3435897043900769,0
Knockout Kings 2001,4773,PS,2000,Fighting,Electronic Arts,0.23,0.15,0.0,0.03,0.41,0.20701416938432615,0.13976194237515868,0.0,0.0295588022415444,0.3435897043900769,0
Dynasty Warriors 6 Empires,5389,PS3,2009,Action,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,0.1310282624064041,0.0295588022415444,0.13976194237515868,0.019802627296179712,0.29266961396282,0
Football Manager Handheld 2008,5403,PSP,2007,Sports,Sega,0.0,0.34,0.0,0.0,0.34,0.0,0.29266961396282,0.0,0.0,0.29266961396282,0
Operation Flashpoint: Red River,5442,PS3,2011,Shooter,Codemasters,0.06,0.15,0.07,0.05,0.33,0.058268908123975775,0.13976194237515868,0.06765864847381481,0.04879016416943201,0.2851789422336624,0
Sakura Wars 3: Paris wa Moeteiru ka,5537,DC,2001,Adventure,Sega,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.2851789422336624,0.0,0.2851789422336624,0
Shaun White Snowboarding,5643,PSP,2008,Sports,Ubisoft,0.26,0.03,0.0,0.03,0.32,0.23111172096338664,0.0295588022415444,0.0,0.0295588022415444,0.2776317365982795,0
Shin Momotarou Densetsu,5668,SNES,1993,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.2776317365982795,0.0,0.2776317365982795,0
X-Men Legends II: Rise of Apocalypse,5967,PSP,2005,Role-Playing,Activision,0.25,0.01,0.0,0.03,0.29,0.22314355131420976,0.009950330853168083,0.0,0.0295588022415444,0.2546422183735807,0
BlazBlue: Chrono Phantasma,6075,PS3,2013,Fighting,Arc System Works,0.13,0.0,0.14,0.02,0.29,0.12221763272424921,0.0,0.1310282624064041,0.019802627296179712,0.2546422183735807,0
Motocross Maniacs Advance,6275,GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.27,0.18232155679395462,0.06765864847381481,0.0,0.0,0.23901690047049992,0
Aikatsu! 2-nin no My Princess,6462,3DS,2013,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,0.0,0.0,0.23111172096338664,0.0,0.23111172096338664,0
Madden NFL 2005,6509,DS,2004,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.26,0.2151113796169455,0.0,0.0,0.019802627296179712,0.23111172096338664,0
pro evolution soccer 2011,7090,Wii,2010,Sports,Konami Digital Entertainment,0.08,0.1,0.03,0.02,0.23,0.07696104113612832,0.09531017980432487,0.0295588022415444,0.019802627296179712,0.20701416938432615,0
Petz Rescue: Endangered Paradise,7178,DS,2008,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22,0.1906203596086497,0.0,0.0,0.019802627296179712,0.1988508587451652,0
Ride,7311,PS4,2015,Racing,Milestone S.r.l.,0.03,0.13,0.03,0.03,0.22,0.0295588022415444,0.12221763272424921,0.0295588022415444,0.0295588022415444,0.1988508587451652,0
Puyo Puyo Sun 64,7864,N64,1997,Puzzle,Compile,0.0,0.0,0.16,0.03,0.19,0.0,0.0,0.14842000511827327,0.0295588022415444,0.173953307123438,0
Sports Illustrated for Kids: Football,8006,GBA,2003,Sports,BAM! Entertainment,0.13,0.05,0.0,0.0,0.18,0.12221763272424921,0.04879016416943201,0.0,0.0,0.16551443847757338,0
Dungeon Travelers 2: The Royal Library & The Monster Seal,8076,PSV,2014,Role-Playing,Atlus,0.07,0.03,0.05,0.03,0.18,0.06765864847381481,0.0295588022415444,0.04879016416943201,0.0295588022415444,0.16551443847757338,0
Dynasty Warriors: Gundam 3,8135,X360,2010,Action,Tecmo Koei,0.11,0.04,0.02,0.01,0.18,0.10436001532424277,0.039220713153281295,0.019802627296179712,0.009950330853168083,0.16551443847757338,0
UFC: Sudden Impact,8179,PS2,2004,Fighting,Global Star,0.09,0.07,0.0,0.02,0.18,0.08617769624105233,0.06765864847381481,0.0,0.019802627296179712,0.16551443847757338,0
World Tour Soccer 2006,8387,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,0.07696104113612832,0.058268908123975775,0.0,0.019802627296179712,0.15700374880966475,0
Mega Man Network Transmission,8403,GC,2003,Platform,Capcom,0.13,0.03,0.0,0.0,0.17,0.12221763272424921,0.0295588022415444,0.0,0.0,0.15700374880966475,0
True Swing Golf,8496,DS,2005,Sports,Nintendo,0.11,0.0,0.04,0.01,0.16,0.10436001532424277,0.0,0.039220713153281295,0.009950330853168083,0.14842000511827327,0
Grease Dance,8534,X360,2011,Misc,505 Games,0.11,0.03,0.0,0.01,0.16,0.10436001532424277,0.0295588022415444,0.0,0.009950330853168083,0.14842000511827327,0
Imagine: Ice Champions,8651,DS,2007,Sports,Spike,0.15,0.0,0.0,0.01,0.16,0.13976194237515868,0.0,0.0,0.009950330853168083,0.14842000511827327,0
Dead Rising 2,9255,PC,2010,Action,Capcom,0.1,0.02,0.0,0.01,0.14,0.09531017980432487,0.019802627296179712,0.0,0.009950330853168083,0.1310282624064041,0
Resident Evil: Revelations 2,9430,PSV,2015,Action,Capcom,0.01,0.05,0.06,0.01,0.13,0.009950330853168083,0.04879016416943201,0.058268908123975775,0.009950330853168083,0.12221763272424921,0
No Fear Downhill Mountain Biking,9454,PS,1998,Sports,Codemasters,0.07,0.05,0.0,0.01,0.13,0.06765864847381481,0.04879016416943201,0.0,0.009950330853168083,0.12221763272424921,0
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,9736,3DS,2014,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.11332868530700317,0.0,0.11332868530700317,0
Call of Juarez: The Cartel,10248,PC,2011,Shooter,Ubisoft,0.05,0.05,0.0,0.01,0.11,0.04879016416943201,0.04879016416943201,0.0,0.009950330853168083,0.10436001532424277,0
Attack of the Movies 3D,10326,Wii,2010,Shooter,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,0.09531017980432487,0.0,0.0,0.009950330853168083,0.10436001532424277,0
Warriors Orochi 3,10390,PSP,2012,Action,Ubisoft Annecy,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.10436001532424277,0.0,0.10436001532424277,0
Sword & Sorcery,10608,SAT,1996,Role-Playing,Micro Cabin,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.09531017980432487,0.0,0.09531017980432487,0
Glory Days 2,10795,DS,2007,Strategy,Ghostlight,0.08,0.0,0.0,0.01,0.1,0.07696104113612832,0.0,0.0,0.009950330853168083,0.09531017980432487,0
MLB SlugFest 20-04,10881,XB,2003,Sports,Midway Games,0.07,0.02,0.0,0.0,0.09,0.06765864847381481,0.019802627296179712,0.0,0.0,0.08617769624105233,0
Alien Hominid,10913,GC,2004,Shooter,O3 Entertainment,0.07,0.02,0.0,0.0,0.09,0.06765864847381481,0.019802627296179712,0.0,0.0,0.08617769624105233,0
Million God,11241,PS2,2002,Misc,Nippon Amuse,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.08617769624105233,0.0,0.08617769624105233,0
The Secret Saturdays: Beasts of the 5th Sun,11301,DS,2009,Action,D3Publisher,0.08,0.0,0.0,0.01,0.08,0.07696104113612832,0.0,0.0,0.009950330853168083,0.07696104113612832,0
Miami Nights: Singles in the City,11335,DS,2008,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08,0.07696104113612832,0.0,0.0,0.009950330853168083,0.07696104113612832,0
Little League World Series Baseball: Double Play,11433,DS,2010,Sports,Activision,0.08,0.0,0.0,0.01,0.08,0.07696104113612832,0.0,0.0,0.009950330853168083,0.07696104113612832,0
Mega Man Legacy Collection,11744,PS4,2016,Platform,Capcom,0.06,0.0,0.0,0.01,0.07,0.058268908123975775,0.0,0.0,0.009950330853168083,0.06765864847381481,0
Robocalypse,11896,DS,2008,Strategy,Tecmo Koei,0.07,0.0,0.0,0.0,0.07,0.06765864847381481,0.0,0.0,0.0,0.06765864847381481,0
Playmobil Knights,12483,DS,2009,Action,Mindscape,0.04,0.01,0.0,0.0,0.06,0.039220713153281295,0.009950330853168083,0.0,0.0,0.058268908123975775,0
Rock Blast,12534,DS,2008,Puzzle,UFO Interactive,0.06,0.0,0.0,0.0,0.06,0.058268908123975775,0.0,0.0,0.0,0.058268908123975775,0
Aggressive Inline,12730,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,0.039220713153281295,0.009950330853168083,0.0,0.0,0.058268908123975775,0
Final Fight: Streetwise,12833,PS2,2006,Action,Capcom,0.03,0.02,0.0,0.01,0.05,0.0295588022415444,0.019802627296179712,0.0,0.009950330853168083,0.04879016416943201,0
Medabots: Infinity,12902,GC,2003,Role-Playing,Ubisoft,0.04,0.01,0.0,0.0,0.05,0.039220713153281295,0.009950330853168083,0.0,0.0,0.04879016416943201,0
Winning Post 7 2013,13128,PS3,2013,Sports,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04879016416943201,0.0,0.04879016416943201,0
Zoop,13272,PS,1995,Puzzle,MediaQuest,0.03,0.02,0.0,0.0,0.05,0.0295588022415444,0.019802627296179712,0.0,0.0,0.04879016416943201,0
